Driver,Team,LapNumber,Position,LapTimeSec,Compound,TyreLife,TrackStatus,FinalPosition
RUS,Mercedes,1,2,92.694,MEDIUM,1.0,1,1.0
RUS,Mercedes,2,1,85.007,MEDIUM,2.0,1,1.0
RUS,Mercedes,3,2,86.444,MEDIUM,3.0,1,1.0
RUS,Mercedes,4,2,84.789,MEDIUM,4.0,1,1.0
RUS,Mercedes,5,2,84.017,MEDIUM,5.0,1,1.0
RUS,Mercedes,6,2,84.639,MEDIUM,6.0,1,1.0
RUS,Mercedes,7,2,84.099,MEDIUM,7.0,1,1.0
RUS,Mercedes,8,2,85.19,MEDIUM,8.0,1,1.0
RUS,Mercedes,9,2,85.978,MEDIUM,9.0,1,1.0
RUS,Mercedes,10,2,84.112,MEDIUM,10.0,1,1.0
RUS,Mercedes,11,2,83.967,MEDIUM,11.0,1,1.0
RUS,Mercedes,12,3,125.94,MEDIUM,12.0,16,1.0
RUS,Mercedes,13,3,117.659,HARD,1.0,67,1.0
RUS,Mercedes,14,3,87.094,HARD,2.0,71,1.0
RUS,Mercedes,15,3,82.825,HARD,3.0,1,1.0
RUS,Mercedes,16,3,82.923,HARD,4.0,1,1.0
RUS,Mercedes,17,3,82.765,HARD,5.0,1,1.0
RUS,Mercedes,18,3,88.979,HARD,6.0,126,1.0
RUS,Mercedes,19,3,115.257,HARD,7.0,6,1.0
RUS,Mercedes,20,3,90.936,HARD,8.0,671,1.0
RUS,Mercedes,21,3,82.67,HARD,9.0,1,1.0
RUS,Mercedes,22,3,82.892,HARD,10.0,1,1.0
RUS,Mercedes,23,3,82.828,HARD,11.0,1,1.0
RUS,Mercedes,24,3,83.466,HARD,12.0,1,1.0
RUS,Mercedes,25,2,82.879,HARD,13.0,1,1.0
RUS,Mercedes,26,2,83.093,HARD,14.0,1,1.0
RUS,Mercedes,27,2,83.188,HARD,15.0,1,1.0
RUS,Mercedes,28,1,83.39,HARD,16.0,1,1.0
RUS,Mercedes,29,1,83.486,HARD,17.0,1,1.0
RUS,Mercedes,30,1,83.272,HARD,18.0,1,1.0
RUS,Mercedes,31,1,83.147,HARD,19.0,1,1.0
RUS,Mercedes,32,1,83.54,HARD,20.0,1,1.0
RUS,Mercedes,33,1,83.838,HARD,21.0,1,1.0
RUS,Mercedes,34,1,97.592,HARD,22.0,167,1.0
RUS,Mercedes,35,1,83.017,HARD,23.0,1,1.0
RUS,Mercedes,36,1,82.729,HARD,24.0,1,1.0
RUS,Mercedes,37,1,82.839,HARD,25.0,1,1.0
RUS,Mercedes,38,1,82.863,HARD,26.0,1,1.0
RUS,Mercedes,39,1,82.738,HARD,27.0,1,1.0
RUS,Mercedes,40,1,82.915,HARD,28.0,1,1.0
RUS,Mercedes,41,1,83.073,HARD,29.0,1,1.0
RUS,Mercedes,42,1,83.054,HARD,30.0,1,1.0
RUS,Mercedes,43,1,82.893,HARD,31.0,1,1.0
RUS,Mercedes,44,1,82.856,HARD,32.0,1,1.0
RUS,Mercedes,45,1,83.477,HARD,33.0,1,1.0
RUS,Mercedes,46,1,83.751,HARD,34.0,1,1.0
RUS,Mercedes,47,1,83.033,HARD,35.0,1,1.0
RUS,Mercedes,48,1,83.034,HARD,36.0,1,1.0
RUS,Mercedes,49,1,82.844,HARD,37.0,1,1.0
RUS,Mercedes,50,1,83.087,HARD,38.0,1,1.0
RUS,Mercedes,51,1,82.762,HARD,39.0,1,1.0
RUS,Mercedes,52,1,83.106,HARD,40.0,1,1.0
RUS,Mercedes,53,1,83.069,HARD,41.0,1,1.0
RUS,Mercedes,54,1,83.1,HARD,42.0,1,1.0
RUS,Mercedes,55,1,82.67,HARD,43.0,1,1.0
RUS,Mercedes,56,1,82.757,HARD,44.0,1,1.0
