Driver,Team,LapNumber,Position,LapTimeSec,Compound,TyreLife,TrackStatus,FinalPosition
ANT,Mercedes,1,2,100.137,MEDIUM,1.0,12,1.0
ANT,Mercedes,2,1,98.305,MEDIUM,2.0,1,1.0
ANT,Mercedes,3,1,98.013,MEDIUM,3.0,1,1.0
ANT,Mercedes,4,1,97.394,MEDIUM,4.0,1,1.0
ANT,Mercedes,5,1,97.535,MEDIUM,5.0,1,1.0
ANT,Mercedes,6,1,97.172,MEDIUM,6.0,1,1.0
ANT,Mercedes,7,1,97.412,MEDIUM,7.0,1,1.0
ANT,Mercedes,8,1,97.322,MEDIUM,8.0,1,1.0
ANT,Mercedes,9,1,97.356,MEDIUM,9.0,1,1.0
ANT,Mercedes,10,1,106.671,MEDIUM,10.0,124,1.0
ANT,Mercedes,11,1,,HARD,1.0,4,1.0
ANT,Mercedes,12,1,149.91,HARD,2.0,4,1.0
ANT,Mercedes,13,1,,HARD,3.0,41,1.0
ANT,Mercedes,14,1,98.957,HARD,4.0,1,1.0
ANT,Mercedes,15,1,98.222,HARD,5.0,1,1.0
ANT,Mercedes,16,1,96.604,HARD,6.0,1,1.0
ANT,Mercedes,17,1,96.555,HARD,7.0,1,1.0
ANT,Mercedes,18,1,97.059,HARD,8.0,12,1.0
ANT,Mercedes,19,1,96.816,HARD,9.0,1,1.0
ANT,Mercedes,20,1,96.762,HARD,10.0,1,1.0
ANT,Mercedes,21,1,96.929,HARD,11.0,1,1.0
ANT,Mercedes,22,1,96.612,HARD,12.0,1,1.0
ANT,Mercedes,23,1,96.806,HARD,13.0,1,1.0
ANT,Mercedes,24,1,96.513,HARD,14.0,1,1.0
ANT,Mercedes,25,1,96.514,HARD,15.0,1,1.0
ANT,Mercedes,26,1,96.588,HARD,16.0,1,1.0
ANT,Mercedes,27,1,96.59,HARD,17.0,1,1.0
ANT,Mercedes,28,1,96.589,HARD,18.0,12,1.0
ANT,Mercedes,29,1,96.381,HARD,19.0,1,1.0
ANT,Mercedes,30,1,96.166,HARD,20.0,1,1.0
ANT,Mercedes,31,1,96.108,HARD,21.0,1,1.0
ANT,Mercedes,32,1,95.983,HARD,22.0,1,1.0
ANT,Mercedes,33,1,96.443,HARD,23.0,12,1.0
ANT,Mercedes,34,1,96.021,HARD,24.0,1,1.0
ANT,Mercedes,35,1,96.037,HARD,25.0,1,1.0
ANT,Mercedes,36,1,96.014,HARD,26.0,1,1.0
ANT,Mercedes,37,1,96.159,HARD,27.0,1,1.0
ANT,Mercedes,38,1,95.526,HARD,28.0,1,1.0
ANT,Mercedes,39,1,95.494,HARD,29.0,1,1.0
ANT,Mercedes,40,1,96.15,HARD,30.0,1,1.0
ANT,Mercedes,41,1,95.343,HARD,31.0,1,1.0
ANT,Mercedes,42,1,95.93,HARD,32.0,1,1.0
ANT,Mercedes,43,1,95.936,HARD,33.0,1,1.0
