id,label,degree,weightedDegree,community,matrixOrder
34,Node 34,17,17.0,1,0
33,Node 33,12,12.0,1,1
32,Node 32,6,6.0,1,2
9,Node 9,5,5.0,1,3
24,Node 24,5,5.0,1,4
28,Node 28,4,4.0,1,5
30,Node 30,4,4.0,1,6
31,Node 31,4,4.0,1,7
25,Node 25,3,3.0,1,8
26,Node 26,3,3.0,1,9
29,Node 29,3,3.0,1,10
15,Node 15,2,2.0,1,11
16,Node 16,2,2.0,1,12
19,Node 19,2,2.0,1,13
21,Node 21,2,2.0,1,14
23,Node 23,2,2.0,1,15
27,Node 27,2,2.0,1,16
3,Node 3,10,10.0,2,17
2,Node 2,9,9.0,2,18
4,Node 4,6,6.0,2,19
14,Node 14,5,5.0,2,20
8,Node 8,4,4.0,2,21
10,Node 10,2,2.0,2,22
13,Node 13,2,2.0,2,23
18,Node 18,2,2.0,2,24
22,Node 22,2,2.0,2,25
1,Node 1,16,16.0,3,26
6,Node 6,4,4.0,3,27
7,Node 7,4,4.0,3,28
5,Node 5,3,3.0,3,29
11,Node 11,3,3.0,3,30
20,Node 20,3,3.0,3,31
17,Node 17,2,2.0,3,32
12,Node 12,1,1.0,3,33
