source,target,weight
3,15,2.0
3,22,15.0
3,33,6.0
3,77,1.0
9,15,1.0
9,16,20.0
9,25,3.0
9,35,7.0
9,61,1.0
9,77,2.0
12,25,11.0
12,35,8.0
12,55,1.0
12,60,26.0
12,61,1.0
12,73,1.0
12,80,2.0
13,14,31.0
13,15,2.0
13,22,2.0
13,33,3.0
13,35,3.0
13,44,14.0
13,60,7.0
13,73,1.0
13,77,3.0
13,88,2.0
14,15,14.0
14,16,16.0
14,25,30.0
14,33,42.0
14,35,99.0
14,44,54.0
14,60,18.0
14,61,1.0
14,73,14.0
14,77,12.0
14,86,4.0
14,88,91.0
15,16,5.0
15,22,1.0
15,25,6.0
15,36,4.0
15,60,80.0
15,77,18.0
15,86,2.0
15,88,54.0
16,22,1.0
16,25,90.0
16,35,54.0
16,60,109.0
16,61,7.0
16,73,32.0
16,77,16.0
16,88,18.0
22,25,3.0
22,29,4.0
22,35,1.0
22,44,2.0
22,60,20.0
22,73,4.0
22,88,10.0
25,33,1.0
25,35,80.0
25,44,9.0
25,55,7.0
25,60,23.0
25,68,1.0
25,73,10.0
25,77,30.0
25,80,123.0
25,86,4.0
25,88,78.0
28,35,1.0
28,44,1.0
28,60,4.0
29,44,1.0
29,60,28.0
29,61,2.0
29,73,1.0
29,88,1.0
33,35,11.0
33,44,2.0
33,60,7.0
33,73,3.0
33,84,51.0
35,60,1.0
35,61,3.0
35,73,5.0
35,80,6.0
35,84,3.0
35,88,6.0
36,60,5.0
36,73,1.0
36,77,7.0
41,80,1.0
44,60,57.0
44,61,1.0
44,73,7.0
44,88,2.0
55,61,1.0
55,80,40.0
55,84,1.0
60,61,4.0
60,68,10.0
60,72,10.0
60,73,56.0
60,77,111.0
60,86,4.0
60,88,75.0
61,68,2.0
61,77,28.0
61,88,6.0
73,77,63.0
73,80,4.0
73,88,26.0
77,86,2.0
77,88,9.0
79,88,1.0
80,88,2.0
84,88,5.0
86,88,7.0
3,67,1.0
9,17,5.0
9,63,3.0
12,48,15.0
12,54,3.0
13,63,1.0
14,48,4.0
14,51,4.0
14,54,10.0
15,48,6.0
15,54,2.0
16,32,3.0
16,48,3.0
16,52,2.0
16,54,22.0
22,48,1.0
22,52,2.0
22,54,7.0
25,26,8.0
25,32,13.0
25,46,3.0
25,48,29.0
25,52,7.0
25,54,5.0
25,57,2.0
25,67,8.0
25,78,12.0
33,46,1.0
35,46,17.0
35,48,6.0
35,57,29.0
35,63,1.0
35,65,2.0
44,54,1.0
44,67,1.0
44,78,3.0
55,63,1.0
55,76,1.0
60,67,9.0
61,63,1.0
61,67,1.0
73,76,10.0
3,30,1.0
9,23,8.0
9,30,2.0
9,58,1.0
12,30,2.0
12,58,1.0
13,23,1.0
13,30,2.0
13,58,3.0
14,59,1.0
22,58,3.0
25,30,4.0
25,58,2.0
25,62,1.0
25,71,1.0
28,58,2.0
29,30,1.0
29,59,1.0
29,62,4.0
29,66,1.0
29,81,1.0
35,58,4.0
35,59,9.0
35,66,8.0
35,69,4.0
35,71,7.0
44,58,4.0
44,59,1.0
44,62,4.0
44,66,5.0
44,71,4.0
55,69,1.0
60,62,29.0
60,66,27.0
60,69,10.0
60,71,16.0
73,82,1.0
77,81,1.0
9,85,6.0
9,87,2.0
12,39,8.0
12,87,2.0
13,39,1.0
13,64,1.0
13,75,1.0
14,64,1.0
15,64,1.0
16,64,54.0
16,85,27.0
16,89,1.0
25,39,1.0
25,42,6.0
25,45,3.0
25,64,10.0
25,83,12.0
25,85,35.0
25,87,10.0
25,89,10.0
29,85,1.0
33,64,1.0
33,87,1.0
35,39,6.0
35,64,14.0
35,83,6.0
35,85,29.0
35,87,12.0
35,89,4.0
44,64,4.0
44,75,1.0
44,83,3.0
44,85,9.0
55,64,1.0
60,83,5.0
60,87,5.0
61,85,1.0
61,87,1.0
73,85,6.0
80,83,2.0
80,85,1.0
80,87,6.0
84,87,3.0
3,4,4.0
13,18,4.0
22,37,3.0
25,37,1.0
25,47,1.0
25,53,1.0
25,74,2.0
28,47,2.0
35,74,11.0
73,74,2.0
9,43,3.0
12,49,3.0
13,49,1.0
14,43,1.0
14,49,17.0
14,56,1.0
15,43,1.0
15,49,18.0
16,43,4.0
16,49,19.0
22,56,2.0
25,43,4.0
25,49,36.0
25,56,5.0
29,49,10.0
33,49,4.0
35,43,1.0
35,49,10.0
35,56,7.0
36,49,2.0
44,49,5.0
9,19,9.0
15,70,1.0
16,19,29.0
25,70,1.0
55,70,2.0
17,35,2.0
17,55,1.0
17,61,2.0
17,80,2.0
17,84,4.0
24,25,12.0
24,35,26.0
24,73,3.0
24,80,8.0
26,33,1.0
26,35,90.0
26,61,1.0
27,35,4.0
32,55,6.0
32,61,1.0
32,73,1.0
32,80,9.0
46,55,1.0
46,61,1.0
46,80,2.0
48,60,9.0
48,61,4.0
48,73,14.0
48,77,1.0
48,80,1.0
48,84,1.0
51,60,1.0
52,60,10.0
52,61,2.0
52,73,14.0
52,77,6.0
52,80,2.0
52,84,27.0
52,88,2.0
54,60,71.0
54,61,3.0
54,73,24.0
54,77,4.0
54,80,8.0
54,84,1.0
54,88,6.0
57,61,4.0
57,73,7.0
57,80,22.0
57,84,1.0
63,73,5.0
63,84,3.0
65,84,2.0
67,77,4.0
67,80,11.0
76,80,29.0
78,88,2.0
17,48,2.0
17,52,65.0
17,54,2.0
17,57,2.0
17,63,18.0
17,65,1.0
17,76,3.0
24,26,179.0
24,27,8.0
24,46,36.0
24,48,148.0
24,52,6.0
24,54,105.0
24,57,120.0
24,63,11.0
24,65,36.0
24,67,2.0
24,76,3.0
26,27,75.0
26,46,107.0
26,48,2.0
26,51,12.0
26,57,175.0
26,65,7.0
27,46,1.0
27,51,1.0
27,57,8.0
32,48,2.0
32,52,4.0
32,54,41.0
32,65,1.0
32,67,12.0
32,76,1.0
34,48,13.0
46,51,1.0
46,57,38.0
46,65,4.0
48,51,1.0
48,52,5.0
48,54,339.0
48,57,15.0
48,63,12.0
48,65,7.0
48,67,17.0
48,76,6.0
48,78,6.0
51,76,1.0
52,54,103.0
52,57,106.0
52,63,6.0
52,65,1.0
52,67,6.0
52,76,39.0
52,78,17.0
54,57,10.0
54,63,84.0
54,65,20.0
54,67,114.0
54,76,17.0
54,78,4.0
57,63,2.0
57,65,36.0
57,67,3.0
57,76,21.0
57,78,1.0
63,65,1.0
63,67,3.0
63,76,6.0
65,67,1.0
17,23,1.0
17,30,3.0
17,58,1.0
17,71,41.0
24,58,2.0
26,30,5.0
26,58,3.0
46,66,1.0
46,71,2.0
52,62,81.0
52,81,2.0
54,58,1.0
57,66,1.0
63,71,2.0
76,82,1.0
17,45,3.0
17,83,3.0
17,87,2.0
24,39,15.0
24,45,17.0
24,83,5.0
24,85,1.0
24,87,9.0
26,39,2.0
26,85,1.0
26,87,5.0
27,85,1.0
32,42,1.0
46,83,1.0
46,85,16.0
46,87,10.0
48,85,1.0
48,87,1.0
54,64,2.0
57,83,1.0
57,87,4.0
63,83,1.0
63,87,7.0
65,83,1.0
65,85,1.0
76,87,2.0
78,85,2.0
17,18,3.0
17,47,1.0
24,53,1.0
26,37,5.0
26,38,1.0
26,53,1.0
27,37,1.0
32,38,1.0
17,49,1.0
17,50,1.0
24,49,3.0
24,50,7.0
24,56,2.0
26,49,2.0
32,49,12.0
46,49,2.0
48,49,43.0
48,50,2.0
54,56,4.0
24,70,2.0
67,70,1.0
0,35,1.0
0,72,2.0
0,80,2.0
5,29,1.0
5,35,1.0
5,60,7.0
5,88,2.0
7,25,1.0
7,29,1.0
7,35,2.0
7,44,3.0
7,60,19.0
7,88,5.0
8,9,1.0
8,25,1.0
8,44,1.0
8,60,7.0
8,61,1.0
8,88,3.0
21,25,5.0
21,29,1.0
21,35,2.0
21,44,5.0
21,55,1.0
21,60,27.0
21,73,1.0
21,77,1.0
21,88,1.0
23,25,7.0
23,29,11.0
23,33,4.0
23,35,27.0
23,44,21.0
23,55,1.0
23,60,53.0
23,80,2.0
23,88,11.0
30,35,8.0
30,44,14.0
30,55,1.0
30,60,77.0
30,68,1.0
30,72,1.0
30,73,2.0
30,80,3.0
30,84,1.0
30,88,2.0
58,60,10.0
58,68,1.0
58,73,1.0
58,84,1.0
59,60,7.0
59,80,1.0
62,80,1.0
62,88,5.0
66,86,1.0
66,88,6.0
69,80,1.0
71,88,2.0
5,24,2.0
7,24,3.0
7,26,1.0
7,57,6.0
8,17,11.0
21,24,1.0
21,26,1.0
23,46,11.0
23,54,2.0
23,57,2.0
23,63,1.0
23,78,2.0
30,46,1.0
30,48,2.0
30,57,6.0
30,63,3.0
30,67,5.0
30,76,1.0
30,78,1.0
58,63,2.0
58,78,1.0
0,71,301.0
0,82,216.0
5,21,1.0
5,23,17.0
5,30,1.0
5,62,3.0
5,66,3.0
7,8,2.0
7,23,20.0
7,30,1.0
7,58,1.0
7,59,3.0
7,62,5.0
7,66,12.0
7,71,24.0
8,23,11.0
8,30,1.0
8,58,3.0
8,66,29.0
8,71,250.0
21,23,14.0
21,30,6.0
21,58,5.0
21,62,4.0
21,66,4.0
21,69,3.0
21,71,3.0
21,81,1.0
23,30,36.0
23,58,47.0
23,59,23.0
23,62,46.0
23,66,29.0
23,69,14.0
23,71,15.0
23,81,8.0
30,58,9.0
30,59,1.0
30,62,4.0
30,66,18.0
30,69,7.0
30,71,88.0
30,81,1.0
58,66,14.0
58,71,35.0
58,81,1.0
59,66,3.0
62,66,7.0
62,69,3.0
62,71,3.0
62,81,3.0
66,69,6.0
66,71,295.0
66,81,3.0
69,81,1.0
71,81,2.0
0,1,18.0
0,39,28.0
0,64,24.0
0,85,3.0
0,87,3.0
0,89,10.0
5,87,2.0
7,39,1.0
7,85,4.0
8,39,1.0
8,83,1.0
21,85,1.0
21,87,1.0
23,31,1.0
23,39,8.0
23,75,1.0
23,83,1.0
23,85,1.0
23,87,6.0
23,89,1.0
30,39,3.0
30,85,6.0
30,87,4.0
58,64,2.0
58,83,2.0
58,85,2.0
58,87,2.0
62,83,1.0
66,85,3.0
71,83,6.0
71,87,4.0
82,83,3.0
82,87,3.0
0,74,2.0
8,18,1.0
8,47,5.0
8,74,1.0
23,47,12.0
23,74,2.0
30,47,3.0
7,43,1.0
7,49,1.0
21,49,4.0
23,49,18.0
30,43,1.0
30,49,3.0
0,19,2.0
0,70,120.0
1,9,4.0
1,16,27.0
1,25,24.0
1,29,1.0
1,35,23.0
1,44,2.0
1,60,4.0
1,61,2.0
1,80,1.0
1,88,1.0
11,12,14.0
11,14,3.0
11,22,1.0
11,25,14.0
11,35,7.0
11,44,3.0
11,55,3.0
11,60,37.0
11,61,7.0
11,73,5.0
11,80,1.0
11,86,1.0
31,33,5.0
31,60,4.0
31,61,2.0
31,68,3.0
31,80,4.0
39,60,4.0
