municipality_code,municipality_name,municipality_key,homicide_incidents
3502754,Araçariguama,aracariguama,0
3503901,Arujá,aruja,29
3504107,Atibaia,atibaia,0
3505708,Barueri,barueri,69
3506359,Bertioga,bertioga,1
3506607,Biritiba-Mirim,biritiba-mirim,5
3508405,Cabreúva,cabreuva,0
3509007,Caieiras,caieiras,18
3509205,Cajamar,cajamar,32
3509601,Campo Limpo Paulista,campo limpo paulista,0
3510500,Caraguatatuba,caraguatatuba,0
3510609,Carapicuíba,carapicuiba,144
3513009,Cotia,cotia,106
3513504,Cubatão,cubatao,0
3513801,Diadema,diadema,139
3515004,Embu,embu,139
3515103,Embu-Guaçu,embu-guacu,47
3515707,Ferraz De Vasconcelos,ferraz de vasconcelos,62
3516309,Francisco Morato,francisco morato,62
3516408,Franco Da Rocha,franco da rocha,37
3518305,Guararema,guararema,5
3518800,Guarulhos,guarulhos,407
3519709,Ibiúna,ibiuna,0
3520202,Igaratá,igarata,0
3522109,Itanhaém,itanhaem,0
3522208,Itapecerica Da Serra,itapecerica da serra,100
3522505,Itapevi,itapevi,121
3523107,Itaquaquecetuba,itaquaquecetuba,136
3524402,Jacareí,jacarei,0
3525003,Jandira,jandira,66
3525904,Jundiaí,jundiai,0
3526209,Juquitiba,juquitiba,21
3528502,Mairiporã,mairipora,51
3529401,Mauá,maua,160
3529906,Miracatu,miracatu,0
3530607,Mogi Das Cruzes,mogi das cruzes,101
3532405,Nazaré Paulista,nazare paulista,0
3534401,Osasco,osasco,227
3535606,Paraibuna,paraibuna,0
3537206,Pedro De Toledo,pedro de toledo,0
3539103,Pirapora Do Bom Jesus,pirapora do bom jesus,20
3539806,Poá,poa,21
3543303,Ribeirão Pires,ribeirao pires,34
3544103,Rio Grande Da Serra,rio grande da serra,11
3545001,Salesópolis,salesopolis,3
3546009,Santa Branca,santa branca,0
3546801,Santa Isabel,santa isabel,20
3547304,Santana De Parnaíba,santana de parnaiba,26
3547809,Santo André,santo andre,196
3548500,Santos,santos,0
3552502,Suzano,suzano,116
3548708,São Bernardo Do Campo,sao bernardo do campo,221
3548807,São Caetano Do Sul,sao caetano do sul,6
3549953,São Lourenço Da Serra,sao lourenco da serra,12
3550308,São Paulo,sao paulo,3166
3550605,São Roque,sao roque,0
3550704,São Sebastião,sao sebastiao,0
3551009,São Vicente,sao vicente,0
3552809,Taboão Da Serra,taboao da serra,65
3556453,Vargem Grande Paulista,vargem grande paulista,12
