cost_rank,expensive_rank,state_name,state_abbr,cost_index,grocery_cost,housing_cost,utilities_cost,transportation_cost,health_cost,misc_cost,latitude,longitude,is_top_ten_expensive
52,1,Hawaii,HI,183.9,131.4,299.0,194.1,141.5,127.8,122.5,19.898682,-155.665857,True
51,2,Massachusetts,MA,148.5,102.7,221.0,154.8,105.2,134.2,116.8,42.407211,-71.382437,True
50,3,California,CA,143.1,109.3,199.4,140.5,136.8,104.2,116.6,36.778261,-119.417932,True
49,4,District of Columbia,DC,137.8,104.8,204.7,103.3,105.2,120.7,113.1,38.905985,-77.033418,True
48,5,Alaska,AK,126.7,125.0,123.6,156.5,120.2,139.2,122.6,63.588753,-154.493062,True
47,6,New York,NY,125.8,103.3,174.7,101.5,108.1,110.9,105.8,43.299428,-74.217933,True
46,7,Maryland,MD,117.4,105.4,141.3,114.2,100.7,106.6,108.4,39.045755,-76.641271,True
45,8,New Jersey,NJ,115.3,103.5,141.9,102.2,102.1,110.8,104.5,40.058324,-74.405661,True
43,9,Connecticut,CT,114.0,103.6,122.3,131.9,104.0,111.5,109.8,41.603221,-73.087749,True
44,10,Maine,ME,114.0,101.0,135.7,118.9,103.6,115.3,102.0,45.253783,-69.445469,True
42,11,Vermont,VT,113.5,105.5,129.0,113.5,103.3,111.8,106.3,44.558803,-72.577841,False
41,12,Washington,WA,112.9,108.0,118.3,98.8,124.0,110.2,111.2,47.751074,-120.740139,False
40,13,Oregon,OR,112.8,106.8,127.4,95.6,119.1,117.9,104.4,43.804133,-120.554201,False
39,14,Rhode Island,RI,110.7,101.4,115.1,131.6,99.7,100.8,110.0,41.580095,-71.477429,False
38,15,New Hampshire,NH,110.5,99.4,115.6,115.9,104.0,107.9,111.6,43.193852,-71.572395,False
37,16,Arizona,AZ,110.3,101.9,127.3,104.0,102.1,93.4,105.2,34.048928,-111.093731,False
35,17,Delaware,DE,103.1,101.3,102.3,97.6,100.6,103.9,106.3,38.910832,-75.52767,False
36,18,Colorado,CO,103.1,101.2,108.8,88.4,97.5,106.3,103.8,39.550051,-105.782067,False
34,19,Virginia,VA,102.2,99.7,106.7,97.5,95.5,107.6,101.5,37.431573,-78.656894,False
32,20,Florida,FL,101.4,104.3,103.5,98.1,99.8,92.7,100.7,27.664827,-81.515754,False
31,21,Nevada,NV,99.7,102.7,110.7,85.6,115.3,89.3,89.6,38.80261,-116.419389,False
30,22,Utah,UT,99.5,96.9,108.8,82.4,104.1,90.9,96.9,39.32098,-111.093731,False
