fips,state_abbr,county_name,poverty_rate,child_poverty_rate,median_household_income
02013,AK,Aleutians East Borough,18.0,18.6,83000.0
02016,AK,Aleutians West Census Area,10.0,4.800000000000001,104159.0
02020,AK,Anchorage Borough,8.9,9.9,93881.0
02050,AK,Bethel Census Area,29.3,36.2,62140.0
02060,AK,Bristol Bay Borough,11.700000000000001,18.0,99790.0
02063,AK,Chugach Census Area,8.700000000000001,7.9,95180.0
02066,AK,Copper River Census Area,14.200000000000001,20.1,69092.0
02068,AK,Denali Borough,7.800000000000001,11.3,86118.0
02070,AK,Dillingham Census Area,23.400000000000002,31.3,62598.0
02090,AK,Fairbanks North Star Borough,7.6000000000000005,7.9,86780.0
02100,AK,Haines Borough,10.0,13.100000000000001,78649.0
02105,AK,Hoonah-Angoon Census Area,17.2,27.200000000000003,64720.0
02110,AK,Juneau Borough,9.1,9.5,99748.0
02122,AK,Kenai Peninsula Borough,11.5,12.100000000000001,74185.0
02130,AK,Ketchikan Gateway Borough,9.3,11.700000000000001,87760.0
02150,AK,Kodiak Island Borough,8.5,8.8,86250.0
02158,AK,Kusilvak Census Area,30.8,36.5,42029.0
02164,AK,Lake and Peninsula Borough,20.400000000000002,27.3,62547.0
02170,AK,Matanuska-Susitna Borough,9.700000000000001,10.5,94376.0
02180,AK,Nome Census Area,20.700000000000003,23.0,75296.0
02185,AK,North Slope Borough,12.0,14.200000000000001,103556.0
02188,AK,Northwest Arctic Borough,19.1,23.0,78619.0
02195,AK,Petersburg Borough,8.4,11.0,68449.0
02198,AK,Prince of Wales-Hyder Census Area,15.700000000000001,22.1,57304.0
02220,AK,Sitka Borough,9.3,10.600000000000001,89264.0
02230,AK,Skagway Municipality,5.9,8.9,79412.0
02240,AK,Southeast Fairbanks Census Area,12.200000000000001,14.0,79014.0
02275,AK,Wrangell City and Borough,11.700000000000001,15.100000000000001,65011.0
02282,AK,Yakutat Borough,15.3,26.0,77108.0
02290,AK,Yukon-Koyukuk Census Area,21.900000000000002,24.8,49498.0
01001,AL,Autauga County,11.700000000000001,17.0,68857.0
01003,AL,Baldwin County,10.0,14.100000000000001,74248.0
01005,AL,Barbour County,25.5,34.800000000000004,45298.0
01007,AL,Bibb County,19.400000000000002,21.400000000000002,56025.0
01009,AL,Blount County,12.8,16.6,64962.0
01011,AL,Bullock County,33.6,39.800000000000004,36204.0
01013,AL,Butler County,23.6,37.4,44729.0
01015,AL,Calhoun County,20.1,28.5,51841.0
01017,AL,Chambers County,17.1,26.0,50390.0
01019,AL,Cherokee County,15.600000000000001,20.5,56400.0
01021,AL,Chilton County,15.3,21.5,59165.0
01023,AL,Choctaw County,24.8,35.800000000000004,47432.0
01025,AL,Clarke County,19.0,28.700000000000003,50868.0
01027,AL,Clay County,16.900000000000002,25.0,52077.0
01029,AL,Cleburne County,15.8,21.700000000000003,59526.0
01031,AL,Coffee County,16.5,21.0,64737.0
01033,AL,Colbert County,15.4,20.5,57770.0
01035,AL,Conecuh County,26.5,43.1,46702.0
01037,AL,Coosa County,18.2,28.0,59736.0
01039,AL,Covington County,16.7,22.400000000000002,50119.0
01041,AL,Crenshaw County,19.5,27.1,49128.0
01043,AL,Cullman County,15.5,21.3,61231.0
01045,AL,Dale County,16.6,22.0,54697.0
01047,AL,Dallas County,31.400000000000002,46.5,39013.0
01049,AL,DeKalb County,21.6,28.8,50614.0
01051,AL,Elmore County,12.5,17.0,73125.0
01053,AL,Escambia County,21.3,29.0,50333.0
01055,AL,Etowah County,19.6,25.5,52504.0
01057,AL,Fayette County,16.2,22.0,49235.0
01059,AL,Franklin County,22.5,34.4,49682.0
01061,AL,Geneva County,19.200000000000003,27.0,50006.0
01063,AL,Greene County,31.0,46.800000000000004,34619.0
01065,AL,Hale County,23.0,32.2,42380.0
01067,AL,Henry County,16.400000000000002,22.700000000000003,55598.0
01069,AL,Houston County,16.5,24.6,59412.0
01071,AL,Jackson County,16.0,19.200000000000003,51479.0
01073,AL,Jefferson County,16.0,21.5,64726.0
01075,AL,Lamar County,16.400000000000002,23.0,50929.0
01077,AL,Lauderdale County,13.600000000000001,16.8,63895.0
01079,AL,Lawrence County,14.200000000000001,19.200000000000003,61064.0
01081,AL,Lee County,17.900000000000002,14.9,62301.0
01083,AL,Limestone County,8.6,11.3,81811.0
01085,AL,Lowndes County,29.400000000000002,42.1,42011.0
01087,AL,Macon County,28.8,40.6,40710.0
01089,AL,Madison County,10.5,13.5,86172.0
01091,AL,Marengo County,23.5,33.1,47228.0
01093,AL,Marion County,19.0,24.3,48829.0
01095,AL,Marshall County,16.5,21.5,59882.0
01097,AL,Mobile County,16.3,24.8,55538.0
01099,AL,Monroe County,19.1,27.900000000000002,49314.0
01101,AL,Montgomery County,18.3,26.0,60063.0
01103,AL,Morgan County,12.0,16.8,70387.0
01105,AL,Perry County,33.800000000000004,50.300000000000004,34176.0
01107,AL,Pickens County,21.5,30.3,47372.0
01109,AL,Pike County,23.8,32.5,50675.0
01111,AL,Randolph County,15.9,25.0,57148.0
01113,AL,Russell County,18.900000000000002,26.700000000000003,52312.0
01117,AL,Shelby County,8.4,9.4,90280.0
01115,AL,St. Clair County,10.8,14.3,78349.0
01119,AL,Sumter County,33.5,45.400000000000006,37021.0
01121,AL,Talladega County,17.0,22.8,59491.0
01123,AL,Tallapoosa County,15.100000000000001,22.6,60583.0
01125,AL,Tuscaloosa County,19.200000000000003,23.8,61117.0
01127,AL,Walker County,17.5,23.3,57950.0
01129,AL,Washington County,18.7,26.200000000000003,57311.0
01131,AL,Wilcox County,32.7,48.5,34426.0
01133,AL,Winston County,16.6,24.0,52280.0
05001,AR,Arkansas County,16.8,23.1,50198.0
05003,AR,Ashley County,18.400000000000002,25.200000000000003,49560.0
05005,AR,Baxter County,16.0,20.6,48804.0
05007,AR,Benton County,7.800000000000001,9.0,92632.0
05009,AR,Boone County,14.9,18.7,56154.0
05011,AR,Bradley County,23.200000000000003,28.700000000000003,44525.0
05013,AR,Calhoun County,14.3,17.8,57689.0
05015,AR,Carroll County,14.8,19.400000000000002,53986.0
05017,AR,Chicot County,29.700000000000003,37.2,40381.0
05019,AR,Clark County,18.900000000000002,20.400000000000002,53561.0
05021,AR,Clay County,17.5,22.3,47663.0
05023,AR,Cleburne County,13.5,20.6,56692.0
05025,AR,Cleveland County,15.700000000000001,20.8,54458.0
05027,AR,Columbia County,23.3,27.8,44175.0
05029,AR,Conway County,17.1,23.0,53863.0
05031,AR,Craighead County,16.1,23.1,60204.0
05033,AR,Crawford County,13.3,18.3,63905.0
05035,AR,Crittenden County,20.6,29.3,52153.0
05037,AR,Cross County,19.1,25.400000000000002,47669.0
05039,AR,Dallas County,19.6,26.900000000000002,46701.0
05041,AR,Desha County,25.0,35.6,43469.0
05043,AR,Drew County,20.6,27.8,48746.0
05045,AR,Faulkner County,12.9,15.4,68543.0
05047,AR,Franklin County,19.0,23.700000000000003,54077.0
05049,AR,Fulton County,17.5,24.900000000000002,46346.0
